date,state,total cases,total deaths,new cases,new deaths
2020-05-26,Missouri,12437,698,141,4
2020-05-27,Missouri,12624,705,187,7
2020-05-28,Missouri,12815,715,191,10
2020-05-29,Missouri,12949,740,134,25
2020-05-30,Missouri,13118,782,169,42
2020-05-31,Missouri,13297,784,179,2
2020-06-01,Missouri,13523,786,226,2
2020-06-02,Missouri,13822,797,299,11
2020-06-03,Missouri,14020,801,198,4
2020-06-04,Missouri,14286,806,266,5
2020-06-05,Missouri,14515,816,229,10
2020-06-06,Missouri,14659,823,144,7
2020-06-07,Missouri,14985,823,326,0
2020-06-08,Missouri,15159,832,174,9
2020-06-09,Missouri,15396,854,237,22
2020-06-10,Missouri,15662,861,266,7
2020-06-11,Missouri,15924,873,262,12
2020-06-12,Missouri,16111,884,187,11
2020-06-13,Missouri,16327,890,216,6
2020-06-14,Missouri,16384,890,57,0
2020-06-15,Missouri,16712,895,328,5
2020-06-16,Missouri,16930,903,218,8
2020-06-17,Missouri,17151,924,221,21
2020-06-18,Missouri,17488,963,337,39
2020-06-19,Missouri,17780,973,292,10
2020-06-20,Missouri,18155,975,375,2
2020-06-21,Missouri,18552,975,397,0
2020-06-22,Missouri,18733,980,181,5
2020-06-23,Missouri,19148,993,415,13
2020-06-24,Missouri,19478,1001,330,8
2020-06-25,Missouri,20076,1006,598,5
2020-06-26,Missouri,20567,1019,491,13
2020-06-27,Missouri,20909,1021,342,2
2020-06-28,Missouri,21254,1023,345,2
2020-06-29,Missouri,21748,1026,494,3
2020-06-30,Missouri,22275,1037,527,11
2020-07-01,Missouri,22595,1049,320,12
2020-07-02,Missouri,23085,1056,490,7
2020-07-03,Missouri,23620,1060,535,4
2020-07-04,Missouri,24061,1062,441,2
2020-07-05,Missouri,24334,1062,273,0
2020-07-06,Missouri,24850,1068,516,6
2020-07-07,Missouri,25566,1083,716,15
2020-07-08,Missouri,26343,1089,777,6
2020-07-09,Missouri,27301,1095,958,6
2020-07-10,Missouri,28060,1107,759,12
2020-07-11,Missouri,28649,1112,589,5
2020-07-12,Missouri,29173,1113,524,1
2020-07-13,Missouri,29781,1126,608,13
2020-07-14,Missouri,30817,1136,1036,10
2020-07-15,Missouri,31737,1141,920,5
2020-07-16,Missouri,32596,1145,859,4
2020-07-17,Missouri,33536,1151,940,6
2020-07-18,Missouri,34363,1158,827,7
2020-07-19,Missouri,35154,1158,791,0
2020-07-20,Missouri,36044,1164,890,6
2020-07-21,Missouri,37248,1175,1204,11
2020-07-22,Missouri,38454,1196,1206,21
2020-07-23,Missouri,39923,1212,1469,16
2020-07-24,Missouri,41224,1221,1301,9
2020-07-25,Missouri,42310,1224,1086,3
2020-07-26,Missouri,43477,1231,1167,7
2020-07-27,Missouri,44813,1245,1336,14
2020-07-28,Missouri,46225,1263,1412,18
2020-07-29,Missouri,47683,1269,1458,6
2020-07-30,Missouri,49671,1288,1988,19
2020-07-31,Missouri,51074,1305,1403,17
2020-08-01,Missouri,52012,1311,938,6
2020-08-02,Missouri,52577,1311,565,0
2020-08-03,Missouri,53676,1316,1099,5
2020-08-04,Missouri,54890,1330,1214,14
2020-08-05,Missouri,55951,1337,1061,7
2020-08-06,Missouri,57175,1349,1224,12
2020-08-07,Missouri,58321,1374,1146,25
2020-08-08,Missouri,58710,1381,389,7
2020-08-09,Missouri,59895,1386,1185,5
2020-08-10,Missouri,60882,1397,987,11
2020-08-11,Missouri,61949,1402,1067,5
2020-08-12,Missouri,63372,1408,1423,6
2020-08-13,Missouri,64933,1417,1561,9
2020-08-14,Missouri,66305,1425,1372,8
2020-08-15,Missouri,67442,1431,1137,6
2020-08-16,Missouri,68493,1436,1051,5
2020-08-17,Missouri,69888,1468,1395,32
2020-08-18,Missouri,70759,1477,871,9
2020-08-19,Missouri,71802,1490,1043,13
2020-08-20,Missouri,72912,1508,1110,18
2020-08-21,Missouri,74221,1511,1309,3
2020-08-22,Missouri,75468,1519,1247,8
2020-08-23,Missouri,76339,1519,871,0
2020-08-24,Missouri,77254,1533,915,14
2020-08-25,Missouri,78246,1553,992,20
2020-08-26,Missouri,79588,1566,1342,13
2020-08-27,Missouri,80913,1583,1325,17
2020-08-28,Missouri,82449,1599,1536,16
2020-08-29,Missouri,83973,1613,1524,14
2020-08-30,Missouri,85133,1615,1160,2
2020-08-31,Missouri,86328,1623,1195,8
2020-09-01,Missouri,87414,1651,1086,28
2020-09-02,Missouri,88974,1669,1560,18
2020-09-03,Missouri,90392,1680,1418,11
2020-09-04,Missouri,91994,1698,1602,18
2020-09-05,Missouri,93713,1728,1719,30
2020-09-06,Missouri,94923,1739,1210,11
2020-09-07,Missouri,95795,1739,872,0
2020-09-08,Missouri,97044,1746,1249,7
2020-09-09,Missouri,98446,1755,1402,9
2020-09-10,Missouri,99677,1773,1231,18
2020-09-11,Missouri,101285,1784,1608,11
2020-09-12,Missouri,103085,1802,1800,18
2020-09-13,Missouri,104603,1812,1518,10
2020-09-14,Missouri,106057,1812,1454,0
2020-09-15,Missouri,107687,1830,1630,18
2020-09-16,Missouri,108997,1844,1310,14
2020-09-17,Missouri,110554,1864,1557,20
2020-09-18,Missouri,112547,1892,1993,28
2020-09-19,Missouri,113794,1905,1247,13
2020-09-20,Missouri,115000,1896,1206,0
2020-09-21,Missouri,116814,1936,1814,40
2020-09-22,Missouri,118574,1974,1760,38
2020-09-23,Missouri,120124,2035,1550,61
2020-09-24,Missouri,121485,2055,1361,20
2020-09-25,Missouri,123544,2075,2059,20
2020-09-26,Missouri,124939,2118,1395,43
2020-09-27,Missouri,126115,2117,1176,0
2020-09-28,Missouri,127894,2132,1779,15
2020-09-29,Missouri,128816,2148,922,16
2020-09-30,Missouri,130065,2157,1249,9
2020-10-01,Missouri,131778,2184,1713,27
2020-10-02,Missouri,133725,2207,1947,23
2020-10-03,Missouri,134826,2220,1101,13
2020-10-04,Missouri,135691,2220,865,0
2020-10-05,Missouri,137297,2229,1606,9
2020-10-06,Missouri,139172,2258,1875,29
2020-10-07,Missouri,141262,2334,2090,76
2020-10-08,Missouri,142732,2360,1470,26
2020-10-09,Missouri,145034,2463,2302,103
2020-10-10,Missouri,148199,2483,3165,20
2020-10-11,Missouri,148481,2483,282,0
2020-10-12,Missouri,149460,2484,979,1
2020-10-13,Missouri,150496,2495,1036,11
2020-10-14,Missouri,154213,2598,3717,103
2020-10-15,Missouri,156142,2531,1929,0
2020-10-16,Missouri,158764,2550,2622,19
2020-10-17,Missouri,160654,2645,1890,95
2020-10-18,Missouri,162156,2648,1502,3
2020-10-19,Missouri,164249,2660,2093,12
2020-10-20,Missouri,164891,2668,642,8
2020-10-21,Missouri,167435,2716,2544,48
2020-10-22,Missouri,169311,2734,1876,18
2020-10-23,Missouri,171871,2764,2560,30
2020-10-24,Missouri,173746,2854,1875,90
2020-10-25,Missouri,175243,2857,1497,3
2020-10-26,Missouri,177733,2869,2490,12
2020-10-27,Missouri,179457,2912,1724,43
2020-10-28,Missouri,181877,2940,2420,28
2020-10-29,Missouri,184847,2978,2970,38
2020-10-30,Missouri,187830,3014,2983,36
2020-10-31,Missouri,189925,3090,2095,76
2020-11-01,Missouri,192141,3091,2216,1
2020-11-02,Missouri,195938,3101,3797,10
2020-11-03,Missouri,198312,3136,2374,35
2020-11-04,Missouri,201515,3166,3203,30
2020-11-05,Missouri,205036,3197,3521,31
2020-11-06,Missouri,210054,3217,5018,20
2020-11-07,Missouri,213645,3235,3591,18
2020-11-08,Missouri,216654,3238,3009,3
2020-11-09,Missouri,221874,3241,5220,3
2020-11-10,Missouri,226372,3375,4498,134
2020-11-11,Missouri,230003,3411,3631,36
2020-11-12,Missouri,235341,3441,5338,30
2020-11-13,Missouri,241236,3452,5895,11
2020-11-14,Missouri,248400,3463,7164,11
2020-11-15,Missouri,249608,3463,1208,0
2020-11-16,Missouri,255942,3485,6334,22
2020-11-17,Missouri,261105,3552,5163,67
2020-11-18,Missouri,266079,3591,4974,39
2020-11-19,Missouri,270387,3618,4308,27
2020-11-20,Missouri,275917,3675,5530,57
2020-11-21,Missouri,279987,3684,4070,9
2020-11-22,Missouri,283756,3688,3769,4
2020-11-23,Missouri,288308,3697,4552,9
2020-11-24,Missouri,292786,3869,4478,172
2020-11-25,Missouri,297374,3908,4588,39
2020-11-26,Missouri,300825,3932,3451,24
2020-11-27,Missouri,304234,3943,3409,11
2020-11-28,Missouri,306526,3950,2292,7
2020-11-29,Missouri,309420,3956,2894,6
2020-11-30,Missouri,314981,3981,5561,25
2020-12-01,Missouri,317903,4130,2922,149
2020-12-02,Missouri,321411,4185,3508,55
2020-12-03,Missouri,325519,4274,4108,89
2020-12-04,Missouri,330445,4375,4926,101
2020-12-05,Missouri,334637,4412,4192,37
2020-12-06,Missouri,337927,4420,3290,8
2020-12-07,Missouri,342244,4452,4317,32
2020-12-08,Missouri,346161,4594,3917,142
2020-12-09,Missouri,349046,4640,2885,46
2020-12-10,Missouri,353082,4690,4036,50
2020-12-11,Missouri,355147,4704,2065,14
2020-12-12,Missouri,360623,4754,5476,50
2020-12-13,Missouri,363246,4761,2623,7
2020-12-14,Missouri,367510,4787,4264,26
2020-12-15,Missouri,370869,4959,3359,172
2020-12-16,Missouri,374010,5043,3141,84
2020-12-17,Missouri,378014,5101,4004,58
2020-12-18,Missouri,382181,5170,4167,69
2020-12-19,Missouri,384522,5236,2341,66
2020-12-20,Missouri,386259,5262,1737,26
2020-12-21,Missouri,390512,5291,4253,29
2020-12-22,Missouri,393488,5474,2976,183
2020-12-23,Missouri,396409,5588,2921,114
2020-12-24,Missouri,399528,5627,3119,39
2020-12-25,Missouri,400714,5633,1186,6
2020-12-26,Missouri,402344,5642,1630,9
2020-12-27,Missouri,404201,5656,1857,14
2020-12-28,Missouri,407193,5668,2992,12
2020-12-29,Missouri,410334,5766,3141,98
2020-12-30,Missouri,413764,5846,3430,80
2020-12-31,Missouri,418637,5887,4873,41
2021-01-01,Missouri,421217,5906,2580,19
2021-01-02,Missouri,423894,5910,2677,4
2021-01-03,Missouri,426489,5928,2595,18
2021-01-04,Missouri,429745,5941,3256,13
2021-01-05,Missouri,432830,6123,3085,182
2021-01-06,Missouri,435687,6167,2857,44
2021-01-07,Missouri,440563,6238,4876,71
2021-01-08,Missouri,445310,6276,4747,38
2021-01-09,Missouri,448586,6309,3276,33
2021-01-10,Missouri,450886,6316,2300,7
2021-01-11,Missouri,454492,6336,3606,20
2021-01-12,Missouri,456978,6495,2486,159
2021-01-13,Missouri,459428,6538,2450,43
2021-01-14,Missouri,462318,6590,2890,52
2021-01-15,Missouri,464931,6619,2613,29
2021-01-16,Missouri,466829,6644,1898,25
2021-01-17,Missouri,468106,6647,1277,3
2021-01-18,Missouri,469352,6655,1246,8
2021-01-19,Missouri,471743,6672,2391,17
2021-01-20,Missouri,473912,6868,2169,196
2021-01-21,Missouri,476262,6909,2350,41
2021-01-22,Missouri,478517,6932,2255,23
2021-01-23,Missouri,480183,6949,1666,17
2021-01-24,Missouri,481970,6956,1787,7
2021-01-25,Missouri,483906,6968,1936,12
2021-01-26,Missouri,485533,7082,1627,114
2021-01-27,Missouri,487273,7118,1740,36
2021-01-28,Missouri,489451,7141,2178,23
2021-01-29,Missouri,491612,7162,2161,21
2021-01-30,Missouri,492665,7175,1053,13
2021-01-31,Missouri,493431,7176,766,1
2021-02-01,Missouri,494869,7182,1438,6
2021-02-02,Missouri,496481,7410,1612,228
2021-02-03,Missouri,497781,7491,1300,81
2021-02-04,Missouri,499272,7518,1491,27
2021-02-05,Missouri,501054,7540,1782,22
2021-02-06,Missouri,501870,7557,816,17
2021-02-07,Missouri,502432,7562,562,5
2021-02-08,Missouri,503553,7578,1121,16
2021-02-09,Missouri,504342,7589,789,11
2021-02-10,Missouri,505526,7606,1184,17
2021-02-11,Missouri,506647,7798,1121,192
2021-02-12,Missouri,507605,7840,958,42
2021-02-13,Missouri,508229,7870,624,30
2021-02-14,Missouri,508623,7875,394,5
2021-02-15,Missouri,509031,7879,408,4
2021-02-16,Missouri,509650,7888,619,9
2021-02-17,Missouri,510705,7929,1055,41
2021-02-18,Missouri,511506,8087,801,158
2021-02-19,Missouri,512272,8140,766,53
2021-02-20,Missouri,512753,8151,481,11
2021-02-21,Missouri,513057,8151,304,0
2021-02-22,Missouri,513806,8167,749,16
2021-02-23,Missouri,514394,8284,588,117
2021-02-24,Missouri,515159,8316,765,32
2021-02-25,Missouri,515808,8355,649,39
2021-02-26,Missouri,516429,8371,621,16
2021-02-27,Missouri,516796,8383,367,12
2021-02-28,Missouri,517071,8382,275,0
2021-03-01,Missouri,517597,8385,526,3
2021-03-02,Missouri,518029,8402,432,17
2021-03-03,Missouri,518530,8565,501,163
2021-03-04,Missouri,519108,8571,578,6
2021-03-05,Missouri,519653,8599,545,28
2021-03-06,Missouri,520111,8606,458,7
2021-03-07,Missouri,520401,8608,290,2
2021-03-08,Missouri,570729,8610,50328,2
2021-03-09,Missouri,571432,8715,703,105
2021-03-10,Missouri,572148,8728,716,13
2021-03-11,Missouri,572872,8743,724,15
2021-03-12,Missouri,573751,8752,879,9
2021-03-13,Missouri,574386,8769,635,17
2021-03-14,Missouri,574796,8770,410,1
2021-03-15,Missouri,574951,8771,155,1
2021-03-16,Missouri,575568,8797,617,26
2021-03-17,Missouri,576363,8806,795,9
2021-03-18,Missouri,577070,8811,707,5
2021-03-19,Missouri,577715,8813,645,2
2021-03-20,Missouri,578260,8816,545,3
2021-03-21,Missouri,578637,8822,377,6
2021-03-22,Missouri,579027,8824,390,2
2021-03-23,Missouri,579616,8881,589,57
2021-03-24,Missouri,580405,8892,789,11
2021-03-25,Missouri,581612,8903,1207,11
2021-03-26,Missouri,582660,8910,1048,7
2021-03-27,Missouri,583194,8942,534,32
2021-03-28,Missouri,583530,8943,336,1
2021-03-29,Missouri,583933,8920,403,0
2021-03-30,Missouri,584512,8971,579,51
2021-03-31,Missouri,585211,8977,699,6
2021-04-01,Missouri,585861,8981,650,4
2021-04-02,Missouri,586634,8985,773,4
2021-04-03,Missouri,587144,8988,510,3
2021-04-04,Missouri,587608,8988,464,0
2021-04-05,Missouri,588005,8990,397,2
2021-04-06,Missouri,588579,8999,574,9
2021-04-07,Missouri,589364,9001,785,2
2021-04-08,Missouri,590133,9001,769,0
2021-04-09,Missouri,590923,9000,790,0
2021-04-10,Missouri,591525,9006,602,6
2021-04-11,Missouri,591975,9007,450,1
2021-04-12,Missouri,592383,9010,408,3
2021-04-13,Missouri,593025,9077,642,67
